#{"t_start": 1774345005.0636501, "env_id": "None"}
r,l,t
-10.0,50,472.514266
-10.0,50,473.43044
-16.0,50,474.359065
-20.0,50,475.284442
-9.0,50,476.240558
-12.0,50,477.167777
-16.0,50,478.096068
-13.0,50,479.013018
-13.0,50,479.917245
-7.0,50,480.815537
-16.0,50,481.730588
-18.0,50,482.641151
-15.0,50,483.554396
-12.0,50,484.459271
-11.0,50,485.377159
-5.0,50,486.288646
-17.0,50,487.192584
-10.0,50,488.094347
-16.0,50,489.045556
-16.0,50,489.963187
-8.0,50,490.869456
-5.0,50,491.773167
-6.0,50,492.681057
-10.0,50,493.612274
-7.0,50,494.519228
-4.0,50,495.422397
-15.0,50,496.331456
-18.0,50,497.257835
-11.0,50,498.165359
-10.0,50,499.071112
-13.0,50,499.994986
-6.0,50,500.910251
-14.0,50,501.856181
-22.0,50,502.756253
-11.0,50,503.708899
-12.0,50,504.631498
-8.0,50,505.535303
-15.0,50,506.44033
-15.0,50,507.359643
-11.0,50,508.27783
-10.0,50,509.183384
-8.0,50,510.093424
-10.0,50,511.015682
-18.0,50,511.933785
-20.0,50,512.840745
-11.0,50,513.744345
-12.0,50,514.656944
-10.0,50,515.583302
-7.0,50,516.528578
-14.0,50,517.430538
-14.0,50,518.353473
-5.0,50,519.267382
-9.0,50,520.176018
-15.0,50,521.079749
-10.0,50,522.00025
-9.0,50,522.931237
-13.0,50,523.83695
-10.0,50,524.743257
-10.0,50,525.655657
-7.0,50,526.58158
-9.0,50,527.489341
-14.0,50,528.392165
-9.0,50,529.306475
-11.0,50,530.223968
-16.0,50,531.161497
-11.0,50,532.065399
-17.0,50,532.989666
-6.0,50,533.901873
-6.0,50,534.807898
-15.0,50,535.714836
-5.0,50,536.621533
-9.0,50,537.544363
-15.0,50,538.487275
-10.0,50,539.41407
-23.0,50,540.330426
-17.0,50,541.253568
-10.0,50,542.163815
-14.0,50,543.068927
-11.0,50,544.026628
-20.0,50,544.943986
-16.0,50,545.846113
-14.0,50,546.752451
-14.0,50,547.667012
-7.0,50,548.57861
-16.0,50,549.49146
-6.0,50,550.394382
-20.0,50,551.40934
-16.0,50,552.583633
-8.0,50,553.483648
-11.0,50,554.382972
-12.0,50,555.309463
-20.0,50,556.221284
-12.0,50,557.192384
-13.0,50,558.124959
-14.0,50,559.719152
-28.0,50,560.637791
-21.0,50,561.546895
-8.0,50,562.444345
-13.0,50,563.363315
-18.0,50,564.269439
-9.0,50,565.176549
-7.0,50,566.078175
-20.0,50,566.990578
-9.0,50,567.904609
-7.0,50,568.801098
-15.0,50,569.708581
-13.0,50,570.656855
-10.0,50,571.568877
-14.0,50,572.477612
-16.0,50,573.377002
-8.0,50,574.294437
-9.0,50,575.210728
-15.0,50,576.116595
-14.0,50,577.019444
-9.0,50,577.938085
-14.0,50,578.851722
-6.0,50,579.758755
-15.0,50,580.663297
-10.0,50,581.583104
-10.0,50,582.506926
-9.0,50,583.413219
-17.0,50,584.317645
-19.0,50,585.271932
-11.0,50,586.181003
-18.0,50,587.087708
-16.0,50,587.989265
-15.0,50,588.913774
-18.0,50,589.833865
-10.0,50,590.739799
-11.0,50,591.643698
-13.0,50,592.559097
-11.0,50,593.484284
-17.0,50,594.387315
-11.0,50,595.298953
-10.0,50,596.206126
-20.0,50,597.128072
-11.0,50,598.035776
-42.0,50,598.970919
-12.0,50,599.925772
-9.0,50,600.842446
-12.0,50,601.748604
-14.0,50,602.653691
-10.0,50,603.572296
-10.0,50,604.511992
-15.0,50,605.426854
-13.0,50,606.331518
-10.0,50,607.241513
-8.0,50,608.167786
-9.0,50,609.074675
-11.0,50,609.987782
-12.0,50,610.908415
-8.0,50,611.860556
-5.0,50,612.765627
-5.0,50,613.672871
-15.0,50,614.597166
-9.0,50,615.517482
-3.0,50,616.425964
-7.0,50,617.331659
-16.0,50,618.254251
