iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
105,860160,-73.4837,50.0,0.0000,1.4054,-0.003183,100.341776,3.992500,0.003252,3405,252.6
106,868352,-72.7065,50.0,0.0000,1.3669,-0.002244,108.530321,3.989806,0.002797,3405,255.0
107,876544,-71.4492,50.0,0.0000,1.3345,-0.003326,105.337680,3.987696,0.003420,3407,257.2
108,884736,-70.6246,50.0,0.0100,1.2178,-0.003302,103.786372,3.985277,0.003477,3406,259.7
109,892928,-69.5719,50.0,0.0000,1.3060,-0.003116,95.332616,3.982428,0.003537,3408,262.0
110,901120,-71.1876,50.0,0.0100,1.2488,-0.003491,105.441312,3.978039,0.003735,3408,264.4
111,909312,-71.4877,50.0,0.0000,1.3170,-0.003293,99.186659,3.972209,0.003719,3409,266.7
112,917504,-76.5474,50.0,0.0000,1.4033,-0.002861,110.221502,3.973109,0.003037,3410,269.0
113,925696,-71.4405,50.0,0.0000,1.3127,-0.003280,101.956636,3.973773,0.004032,3412,271.3
114,933888,-70.0864,50.0,0.0000,1.3449,-0.003235,101.924751,3.972717,0.003423,3414,273.5
115,942080,-71.1639,50.0,0.0100,1.3511,-0.002635,104.682236,3.971515,0.003173,3417,275.7
116,950272,-63.1630,50.0,0.0000,1.1503,-0.002079,99.518849,3.965447,0.003247,3418,278.0
117,958464,-68.2612,50.0,0.0100,1.2492,-0.003615,103.112192,3.958485,0.004040,3419,280.3
118,966656,-68.8734,50.0,0.0000,1.2879,-0.004446,98.395982,3.955540,0.004044,3421,282.5
119,974848,-73.2472,50.0,0.0000,1.3871,-0.002552,104.771973,3.950187,0.003117,3423,284.8
120,983040,-69.1717,50.0,0.0000,1.1514,-0.002621,99.148684,3.945163,0.003393,3425,287.0
121,991232,-68.6075,50.0,0.0000,1.2509,-0.002594,101.833368,3.943768,0.003192,3427,289.2
122,999424,-70.7184,50.0,0.0000,1.3261,-0.002761,98.825508,3.943397,0.003490,3429,291.4
123,1007616,-71.6439,50.0,0.0000,1.3570,-0.003145,107.732654,3.940380,0.003533,3430,293.7
124,1015808,-68.8070,50.0,0.0000,1.1779,-0.002921,104.149096,3.935115,0.003618,3431,296.0
125,1024000,-67.8207,50.0,0.0000,1.2213,-0.002494,102.625258,3.931214,0.003642,3433,298.2
126,1032192,-64.2540,50.0,0.0000,1.1497,-0.002688,92.269741,3.923997,0.003946,3436,300.4
127,1040384,-69.0969,50.0,0.0000,1.3429,-0.003876,93.366544,3.921180,0.004145,3437,302.6
128,1048576,-70.5436,50.0,0.0000,1.2195,-0.004158,102.764889,3.916544,0.004289,3439,304.8
129,1056768,-69.2239,50.0,0.0000,1.2611,-0.002718,97.999836,3.917942,0.003491,3441,307.1
130,1064960,-70.4799,50.0,0.0000,1.2759,-0.002844,98.926416,3.916577,0.003799,3442,309.4
131,1073152,-69.0856,50.0,0.0000,1.2442,-0.002804,107.936075,3.915362,0.003235,3444,311.6
132,1081344,-66.9302,50.0,0.0000,1.2417,-0.004007,94.263447,3.911355,0.004265,3446,313.8
133,1089536,-68.3469,50.0,0.0000,1.2367,-0.003009,103.122075,3.905949,0.003621,3448,316.0
134,1097728,-66.1643,50.0,0.0100,1.2740,-0.002736,99.331826,3.899519,0.003452,3449,318.2
135,1105920,-62.3973,50.0,0.0000,1.1870,-0.003982,87.971569,3.898250,0.004936,3451,320.4
136,1114112,-70.1599,50.0,0.0000,1.2400,-0.002678,101.541896,3.898439,0.003954,3453,322.6
137,1122304,-69.3321,50.0,0.0000,1.2659,-0.002973,97.882582,3.893963,0.003372,3453,324.9
138,1130496,-65.4868,50.0,0.0000,1.2079,-0.002659,99.765962,3.885572,0.003344,3455,327.1
139,1138688,-62.5399,50.0,0.0100,1.0969,-0.003714,93.302013,3.885526,0.004038,3457,329.3
140,1146880,-64.2466,50.0,0.0200,1.0825,-0.003899,99.535399,3.880796,0.003587,3459,331.5
141,1155072,-62.8629,50.0,0.0100,1.0645,-0.003325,98.678125,3.874265,0.003909,3460,333.7
142,1163264,-67.4412,50.0,0.0000,1.2959,-0.002980,104.115233,3.873259,0.003491,3462,336.0
143,1171456,-70.9073,50.0,0.0000,1.3674,-0.003474,97.794811,3.871446,0.003533,3463,338.2
144,1179648,-62.4409,50.0,0.0100,1.1033,-0.003571,92.905514,3.866753,0.003800,3464,340.5
145,1187840,-67.4089,50.0,0.0000,1.2997,-0.003012,93.215002,3.861858,0.003271,3465,342.7
146,1196032,-61.7733,50.0,0.0000,1.1074,-0.002875,88.462117,3.855770,0.003018,3466,345.0
147,1204224,-64.0743,50.0,0.0100,1.1223,-0.004059,93.197485,3.850728,0.004410,3467,347.2
148,1212416,-67.3040,50.0,0.0000,1.1752,-0.004135,99.310737,3.846038,0.004177,3469,349.5
149,1220608,-64.4091,50.0,0.0000,1.1464,-0.003263,100.506816,3.835244,0.003813,3470,351.7
150,1228800,-65.3761,50.0,0.0000,1.1498,-0.002459,95.954040,3.825142,0.003144,3471,354.0
151,1236992,-66.7431,50.0,0.0000,1.2559,-0.002891,99.285745,3.817877,0.003307,3472,356.2
152,1245184,-64.3520,50.0,0.0000,1.1277,-0.003039,88.108094,3.812477,0.003065,3474,358.4
153,1253376,-63.2215,50.0,0.0000,1.1202,-0.001924,88.644610,3.807148,0.002746,3475,360.6
154,1261568,-69.3833,50.0,0.0000,1.2427,-0.003714,95.386991,3.806560,0.003828,3477,362.8
155,1269760,-62.7648,50.0,0.0100,1.1879,-0.003091,94.578267,3.808296,0.003341,3478,365.0
156,1277952,-62.7750,50.0,0.0100,1.1264,-0.004153,94.543986,3.807353,0.004186,3478,367.3
157,1286144,-64.6262,50.0,0.0000,1.2002,-0.002698,96.799902,3.805316,0.003147,3479,369.6
158,1294336,-66.1715,50.0,0.0000,1.2296,-0.003552,97.277029,3.804724,0.003189,3481,371.8
159,1302528,-63.5593,50.0,0.0000,1.1696,-0.003206,94.057688,3.809681,0.003863,3483,374.0
160,1310720,-66.1692,50.0,0.0100,1.2407,-0.004142,89.715415,3.807661,0.004673,3483,376.2
161,1318912,-67.8852,50.0,0.0000,1.1910,-0.003161,89.600766,3.802167,0.003267,3485,378.4
162,1327104,-65.2572,50.0,0.0000,1.1934,-0.002855,87.203005,3.794285,0.003033,3486,380.7
163,1335296,-67.0980,50.0,0.0000,1.2326,-0.002542,94.133011,3.789738,0.003017,3487,382.9
164,1343488,-66.4616,50.0,0.0100,1.1958,-0.003472,89.573972,3.790961,0.003595,3488,385.1
165,1351680,-64.2691,50.0,0.0000,1.0948,-0.003936,93.078389,3.790481,0.003833,3489,387.3
166,1359872,-65.7703,50.0,0.0000,1.1946,-0.003228,91.900804,3.787416,0.003206,3490,389.6
167,1368064,-61.9511,50.0,0.0000,1.1104,-0.003290,89.560793,3.787908,0.003087,3492,391.8
168,1376256,-66.2789,50.0,0.0000,1.2409,-0.002986,84.137646,3.784013,0.003354,3493,394.0
169,1384448,-66.0990,50.0,0.0100,1.2001,-0.004262,85.300164,3.778206,0.004192,3494,396.2
170,1392640,-63.1740,50.0,0.0000,1.0359,-0.002552,86.477284,3.773724,0.003698,3494,398.5
171,1400832,-63.6547,50.0,0.0000,1.0223,-0.002772,80.752689,3.768021,0.003678,3496,400.6
172,1409024,-61.8838,50.0,0.0100,1.0104,-0.003438,81.146268,3.763519,0.003830,3497,402.8
173,1417216,-63.6546,50.0,0.0100,1.1401,-0.002297,83.762156,3.762131,0.003046,3498,405.0
174,1425408,-61.9287,50.0,0.0100,1.1458,-0.003253,84.852229,3.761031,0.003518,3500,407.2
175,1433600,-61.7138,50.0,0.0100,1.1202,-0.002932,83.413273,3.761829,0.002999,3500,409.5
176,1441792,-69.0855,50.0,0.0000,1.2602,-0.003067,92.177950,3.759970,0.003292,3501,411.8
177,1449984,-64.4851,50.0,0.0100,1.2300,-0.003951,84.465610,3.755476,0.004046,3500,414.2
178,1458176,-62.7526,50.0,0.0000,1.1556,-0.002841,82.839977,3.753160,0.003523,3501,416.4
179,1466368,-66.4260,50.0,0.0100,1.2450,-0.003327,86.564617,3.748969,0.003415,3502,418.6
180,1474560,-59.4682,50.0,0.0200,1.0101,-0.003233,72.234428,3.742300,0.003759,3503,420.8
181,1482752,-67.7262,50.0,0.0100,1.2293,-0.002891,90.894868,3.740060,0.003383,3504,423.1
182,1490944,-64.9375,50.0,0.0000,1.1719,-0.003528,91.672025,3.730522,0.003412,3505,425.3
183,1499136,-67.4518,50.0,0.0200,1.2101,-0.003011,96.242258,3.719388,0.003483,3506,427.5
184,1507328,-62.4686,50.0,0.0000,1.1364,-0.003998,82.973079,3.718508,0.004055,3507,429.7
185,1515520,-57.7338,50.0,0.0100,1.0165,-0.004387,73.082458,3.718366,0.004396,3508,431.9
186,1523712,-65.4584,50.0,0.0000,1.2607,-0.004505,78.181561,3.714942,0.004298,3509,434.1
187,1531904,-58.7987,50.0,0.0000,1.0918,-0.003261,74.910846,3.713308,0.003758,3510,436.3
188,1540096,-64.8506,50.0,0.0000,1.0445,-0.002999,77.363030,3.713625,0.003866,3511,438.6
189,1548288,-59.3185,50.0,0.0000,1.1080,-0.003515,75.719664,3.709795,0.003664,3511,440.9
190,1556480,-61.0002,50.0,0.0000,1.0772,-0.005256,81.601486,3.705534,0.004619,3511,443.2
191,1564672,-63.8427,50.0,0.0000,1.1355,-0.002471,93.885691,3.700323,0.002571,3511,445.5
192,1572864,-63.2492,50.0,0.0000,1.2255,-0.003453,87.054774,3.697602,0.003268,3511,447.9
193,1581056,-65.6682,50.0,0.0100,1.2189,-0.004303,84.484651,3.698480,0.003376,3510,450.4
194,1589248,-63.8822,50.0,0.0000,1.1157,-0.003448,78.444425,3.698097,0.003945,3510,452.7
195,1597440,-72.1415,50.0,0.0000,1.3322,-0.003078,94.782201,3.692041,0.003493,3510,455.1
196,1605632,-59.2887,50.0,0.0000,1.0488,-0.003323,73.269344,3.689023,0.003327,3509,457.5
197,1613824,-66.5338,50.0,0.0000,1.2286,-0.002695,80.838879,3.682531,0.003258,3509,459.9
198,1622016,-62.5618,50.0,0.0000,1.1183,-0.003036,77.030949,3.674216,0.003161,3508,462.3
199,1630208,-62.9095,50.0,0.0000,1.1252,-0.003052,84.382064,3.667748,0.003750,3508,464.7
200,1638400,-63.7599,50.0,0.0000,1.0642,-0.003958,85.697735,3.664996,0.003280,3506,467.2
201,1646592,-69.6947,50.0,0.0100,1.2019,-0.003602,89.496136,3.661117,0.003284,3505,469.7
202,1654784,-64.0155,50.0,0.0000,1.1139,-0.003899,76.117501,3.655127,0.004185,3503,472.3
203,1662976,-64.0944,50.0,0.0100,1.1596,-0.002612,84.067575,3.645233,0.002589,3503,474.6
204,1671168,-64.0004,50.0,0.0100,1.1311,-0.002621,79.506058,3.638754,0.002756,3504,476.9
205,1679360,-61.5956,50.0,0.0000,1.0610,-0.003079,73.224144,3.636655,0.003802,3503,479.3
206,1687552,-60.7063,50.0,0.0000,1.1401,-0.003803,74.954246,3.633930,0.003323,3503,481.7
207,1695744,-65.3958,50.0,0.0000,1.3091,-0.003489,85.085031,3.632067,0.003457,3503,484.0
208,1703936,-63.9277,50.0,0.0000,1.1689,-0.003570,78.934483,3.629512,0.003270,3503,486.4
209,1712128,-69.4341,50.0,0.0000,1.3390,-0.003401,98.114959,3.626058,0.003858,3502,488.8
210,1720320,-65.1305,50.0,0.0100,1.2292,-0.003245,88.065007,3.620845,0.004093,3502,491.2
211,1728512,-66.2423,50.0,0.0000,1.1429,-0.002770,80.588673,3.612956,0.003011,3502,493.5
212,1736704,-64.7670,50.0,0.0000,1.1507,-0.003805,82.468275,3.606469,0.004215,3502,495.8
213,1744896,-68.4163,50.0,0.0100,1.2290,-0.003799,80.836600,3.601406,0.003459,3502,498.2
214,1753088,-59.9654,50.0,0.0000,1.1268,-0.002927,75.368387,3.598698,0.003252,3501,500.6
215,1761280,-65.5091,50.0,0.0000,1.1863,-0.002355,82.526965,3.592833,0.002431,3501,503.1
216,1769472,-65.8796,50.0,0.0000,1.1446,-0.004283,87.815153,3.585172,0.004182,3500,505.5
217,1777664,-57.5144,50.0,0.0200,1.0939,-0.002635,78.530727,3.582100,0.003487,3501,507.7
218,1785856,-64.7854,50.0,0.0000,1.1351,-0.003771,80.064187,3.580765,0.004066,3501,510.0
219,1794048,-64.2449,50.0,0.0100,1.1239,-0.003413,82.163751,3.574241,0.003632,3502,512.2
220,1802240,-60.2831,50.0,0.0000,1.1099,-0.003356,75.638295,3.569478,0.003831,3502,514.5
221,1810432,-64.6791,50.0,0.0000,1.1815,-0.003165,81.873497,3.563085,0.003963,3503,516.7
222,1818624,-62.6886,50.0,0.0000,1.0785,-0.003533,80.654505,3.557284,0.004122,3504,519.0
223,1826816,-62.0093,50.0,0.0000,1.0493,-0.003194,78.600355,3.548606,0.003616,3504,521.2
224,1835008,-66.5451,50.0,0.0000,1.2761,-0.002845,91.982447,3.543416,0.003015,3505,523.4
225,1843200,-65.5330,50.0,0.0000,1.2394,-0.003193,94.457899,3.539956,0.003512,3506,525.6
226,1851392,-64.2978,50.0,0.0000,1.1565,-0.003419,83.182339,3.534042,0.003553,3507,527.8
227,1859584,-66.4801,50.0,0.0000,1.1502,-0.002880,82.288438,3.531959,0.003570,3508,530.0
228,1867776,-59.9087,50.0,0.0000,1.0874,-0.004098,73.019533,3.525441,0.003993,3508,532.3
229,1875968,-61.5351,50.0,0.0000,1.0539,-0.003119,73.305443,3.518775,0.003332,3508,534.7
230,1884160,-62.6118,50.0,0.0000,1.1632,-0.003106,79.497160,3.515425,0.003744,3509,536.9
231,1892352,-66.9832,50.0,0.0100,1.1183,-0.002775,89.151971,3.513777,0.003348,3510,539.1
232,1900544,-60.0281,50.0,0.0000,1.1099,-0.002647,84.769841,3.507340,0.002918,3510,541.4
233,1908736,-57.6775,50.0,0.0000,0.9529,-0.003621,77.537061,3.495317,0.003571,3511,543.6
234,1916928,-62.6684,50.0,0.0000,1.1750,-0.004458,77.779821,3.486050,0.003772,3511,545.9
235,1925120,-60.8060,50.0,0.0100,1.0397,-0.003232,77.329120,3.483767,0.003971,3511,548.2
236,1933312,-59.3655,50.0,0.0000,1.0263,-0.002997,73.705441,3.480016,0.003583,3511,550.5
237,1941504,-57.8459,50.0,0.0000,1.0326,-0.003058,73.977176,3.474335,0.004293,3512,552.7
238,1949696,-62.2210,50.0,0.0100,1.0973,-0.003135,77.262369,3.470216,0.003562,3512,555.0
239,1957888,-61.3278,50.0,0.0000,1.1093,-0.003543,83.283484,3.464963,0.003642,3513,557.2
240,1966080,-58.2540,50.0,0.0100,1.0369,-0.004436,77.587323,3.456150,0.004864,3514,559.4
241,1974272,-60.9787,50.0,0.0000,1.0618,-0.002777,84.422012,3.450502,0.003168,3515,561.6
242,1982464,-61.4166,50.0,0.0000,1.1093,-0.003591,81.324835,3.445276,0.004392,3515,563.9
243,1990656,-59.4646,50.0,0.0100,0.9673,-0.003509,77.660151,3.432021,0.004177,3516,566.0
244,1998848,-62.2454,50.0,0.0000,1.1867,-0.005059,79.035458,3.418545,0.004505,3517,568.3
245,2007040,-62.7246,50.0,0.0000,1.0798,-0.003870,80.416524,3.413560,0.004450,3517,570.5
246,2015232,-60.6860,50.0,0.0000,1.0313,-0.003355,77.158957,3.407452,0.004193,3518,572.8
247,2023424,-64.4779,50.0,0.0000,1.1317,-0.004428,83.601827,3.395190,0.004407,3518,575.0
248,2031616,-58.5895,50.0,0.0100,1.0736,-0.003432,72.589518,3.379405,0.004547,3519,577.3
249,2039808,-62.4224,50.0,0.0000,1.0773,-0.004210,78.719861,3.370238,0.004123,3519,579.6
250,2048000,-60.9949,50.0,0.0100,1.0902,-0.003247,89.420363,3.366165,0.003623,3520,581.8
251,2056192,-63.3702,50.0,0.0000,1.0690,-0.003696,85.204689,3.359721,0.003859,3520,584.0
