iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
136,1114112,-39.8801,50.0,0.0100,0.5052,-0.003823,20.325187,3.727501,0.004180,4151,268.3
137,1122304,-38.3691,50.0,0.0300,0.4721,-0.004070,18.698610,3.724392,0.004013,4150,270.4
138,1130496,-38.4557,50.0,0.0000,0.5813,-0.002766,21.213834,3.720695,0.003030,4148,272.5
139,1138688,-37.7785,50.0,0.0500,0.5298,-0.003420,20.612663,3.718683,0.003813,4147,274.6
140,1146880,-39.6210,50.0,0.0200,0.5557,-0.004077,20.797517,3.710865,0.003972,4144,276.7
141,1155072,-39.2042,50.0,0.0000,0.5246,-0.003326,21.429860,3.704800,0.004245,4144,278.7
142,1163264,-40.6781,50.0,0.0000,0.5086,-0.004507,20.321382,3.703555,0.004125,4143,280.7
143,1171456,-40.2345,50.0,0.0100,0.4917,-0.004923,19.056378,3.699565,0.004628,4142,282.8
144,1179648,-37.4345,50.0,0.0100,0.5056,-0.002946,19.043432,3.695275,0.003504,4142,284.8
145,1187840,-39.2606,50.0,0.0000,0.5824,-0.004292,18.765104,3.691502,0.004600,4140,286.9
146,1196032,-38.5722,50.0,0.0100,0.4648,-0.003225,17.525907,3.688943,0.003464,4139,288.9
147,1204224,-39.5324,50.0,0.0200,0.5488,-0.003917,18.908147,3.685453,0.004095,4139,290.9
148,1212416,-41.0265,50.0,0.0000,0.5536,-0.004111,19.241983,3.679911,0.004064,4140,292.8
149,1220608,-37.0550,50.0,0.0100,0.4638,-0.004894,14.573622,3.669519,0.004563,4140,294.8
150,1228800,-38.1691,50.0,0.0000,0.4919,-0.003680,15.859273,3.655335,0.003752,4138,296.9
151,1236992,-38.7928,50.0,0.0100,0.5041,-0.003609,13.809651,3.648952,0.003920,4138,298.9
152,1245184,-39.3177,50.0,0.0100,0.5412,-0.004944,15.769897,3.643711,0.004469,4138,300.8
153,1253376,-37.4923,50.0,0.0200,0.5377,-0.003801,16.864733,3.639170,0.004143,4136,303.0
154,1261568,-37.6364,50.0,0.0000,0.4913,-0.004217,12.667632,3.636696,0.004321,4135,305.0
155,1269760,-35.5775,50.0,0.0200,0.4668,-0.003165,13.867052,3.634558,0.003194,4134,307.1
156,1277952,-35.0553,50.0,0.0200,0.4382,-0.003578,13.616242,3.628311,0.003816,4134,309.1
157,1286144,-37.0003,50.0,0.0100,0.4708,-0.003385,12.870417,3.623437,0.003777,4133,311.1
158,1294336,-37.6351,50.0,0.0100,0.4843,-0.002874,12.991442,3.621473,0.003647,4133,313.1
159,1302528,-36.1156,50.0,0.0200,0.4496,-0.004037,14.750339,3.620097,0.004182,4133,315.1
160,1310720,-36.8987,50.0,0.0000,0.4689,-0.003464,13.201609,3.612918,0.004161,4134,317.0
161,1318912,-37.7175,50.0,0.0100,0.5106,-0.003967,12.732228,3.602692,0.003844,4135,319.0
162,1327104,-37.7714,50.0,0.0000,0.5292,-0.003820,13.561211,3.592998,0.004243,4135,320.9
163,1335296,-38.6022,50.0,0.0000,0.5169,-0.004346,12.872165,3.585507,0.004711,4134,323.0
164,1343488,-36.2526,50.0,0.0300,0.4947,-0.003652,11.943842,3.582199,0.005097,4135,324.9
165,1351680,-36.5641,50.0,0.0300,0.4663,-0.004021,12.826159,3.575738,0.004320,4135,326.9
166,1359872,-39.5624,50.0,0.0200,0.5119,-0.003383,14.667312,3.568663,0.003676,4135,328.8
167,1368064,-39.4862,50.0,0.0100,0.4828,-0.002955,14.141400,3.565425,0.003562,4135,330.8
168,1376256,-39.0838,50.0,0.0200,0.4884,-0.003159,12.894263,3.557065,0.003857,4136,332.7
169,1384448,-39.3921,50.0,0.0100,0.5129,-0.002871,13.206330,3.548861,0.003443,4137,334.6
170,1392640,-37.9770,50.0,0.0100,0.4772,-0.004374,11.735161,3.543958,0.004312,4136,336.6
171,1400832,-38.4637,50.0,0.0500,0.4973,-0.004840,15.040689,3.537965,0.004301,4137,338.6
172,1409024,-36.1149,50.0,0.0200,0.4452,-0.004317,9.577929,3.530735,0.004102,4138,340.5
173,1417216,-36.8263,50.0,0.0200,0.4374,-0.004216,13.722367,3.526502,0.004573,4138,342.4
174,1425408,-36.8879,50.0,0.0100,0.5176,-0.003694,11.809068,3.524012,0.004248,4139,344.4
175,1433600,-36.3122,50.0,0.0300,0.4937,-0.004438,12.609319,3.522553,0.005428,4139,346.3
176,1441792,-37.3224,50.0,0.0200,0.4865,-0.003799,12.740032,3.518065,0.003929,4139,348.3
177,1449984,-36.2408,50.0,0.0000,0.4763,-0.004779,11.580148,3.509841,0.005266,4140,350.2
178,1458176,-38.0986,50.0,0.0000,0.4403,-0.003783,11.669842,3.502095,0.004403,4139,352.2
179,1466368,-39.1509,50.0,0.0000,0.4744,-0.003829,12.036972,3.489994,0.006331,4140,354.1
180,1474560,-34.0331,50.0,0.0400,0.4200,-0.003376,12.260095,3.476915,0.005205,4142,356.0
181,1482752,-37.0151,50.0,0.0300,0.4492,-0.003975,12.282656,3.470513,0.004607,4142,357.9
182,1490944,-36.1181,50.0,0.0100,0.4459,-0.004122,14.418293,3.455031,0.004354,4142,359.9
183,1499136,-34.6158,50.0,0.0000,0.4481,-0.003030,11.092414,3.439906,0.003795,4143,361.8
184,1507328,-37.4420,50.0,0.0200,0.4320,-0.002885,10.031049,3.434763,0.003796,4143,363.8
185,1515520,-35.1007,50.0,0.0200,0.4107,-0.003919,8.229453,3.430869,0.004738,4144,365.7
186,1523712,-34.7570,50.0,0.0000,0.4756,-0.002769,10.478812,3.423326,0.004246,4144,367.7
187,1531904,-36.2215,50.0,0.0100,0.4456,-0.003584,9.665822,3.421448,0.004428,4145,369.5
188,1540096,-37.6531,50.0,0.0100,0.4693,-0.004046,10.506006,3.417272,0.004108,4146,371.4
189,1548288,-35.7124,50.0,0.0100,0.4454,-0.004168,11.219059,3.407027,0.004958,4146,373.4
190,1556480,-36.7136,50.0,0.0200,0.5002,-0.004623,12.140574,3.399627,0.004183,4147,375.3
191,1564672,-35.8231,50.0,0.0100,0.4028,-0.003541,12.409588,3.391348,0.003930,4147,377.3
192,1572864,-37.9420,50.0,0.0300,0.4795,-0.004260,11.684985,3.384093,0.003755,4147,379.2
193,1581056,-37.4218,50.0,0.0200,0.4511,-0.004212,9.538224,3.380113,0.004851,4148,381.1
194,1589248,-35.9883,50.0,0.0200,0.4138,-0.004392,10.543203,3.375063,0.005030,4148,383.1
195,1597440,-38.0583,50.0,0.0200,0.4741,-0.003924,12.254142,3.368189,0.005126,4148,385.0
196,1605632,-35.6271,50.0,0.0000,0.4881,-0.003463,12.036583,3.360230,0.005648,4149,387.0
197,1613824,-37.0957,50.0,0.0100,0.4767,-0.004406,11.166922,3.350790,0.004184,4149,388.9
198,1622016,-38.4407,50.0,0.0100,0.5194,-0.004454,12.934341,3.339113,0.004847,4149,390.9
199,1630208,-37.0134,50.0,0.0200,0.4731,-0.004073,13.095480,3.326870,0.005385,4149,392.8
200,1638400,-36.2539,50.0,0.0200,0.4202,-0.005001,10.634853,3.319685,0.005261,4150,394.7
201,1646592,-38.7030,50.0,0.0100,0.4700,-0.005037,11.922967,3.311602,0.005581,4149,396.8
202,1654784,-35.6876,50.0,0.0200,0.4384,-0.003450,9.046017,3.300224,0.005070,4151,398.6
203,1662976,-35.4778,50.0,0.0100,0.4146,-0.003248,7.560824,3.287496,0.004369,4151,400.5
204,1671168,-36.1807,50.0,0.0100,0.4178,-0.002720,9.515885,3.271120,0.003932,4152,402.5
205,1679360,-36.1314,50.0,0.0100,0.4582,-0.002690,9.615079,3.258718,0.004628,4152,404.4
206,1687552,-32.8426,50.0,0.0600,0.4260,-0.003746,10.201859,3.248481,0.004543,4152,406.4
207,1695744,-37.4037,50.0,0.0200,0.4417,-0.003262,10.949251,3.240679,0.003821,4153,408.3
208,1703936,-36.0557,50.0,0.0200,0.4513,-0.004744,10.767693,3.232855,0.004058,4152,410.3
209,1712128,-36.7864,50.0,0.0100,0.5059,-0.005655,12.040226,3.223146,0.005418,4152,412.3
210,1720320,-36.0915,50.0,0.0100,0.4936,-0.003929,12.233453,3.210357,0.003690,4153,414.2
211,1728512,-38.8186,50.0,0.0100,0.4193,-0.003468,9.117437,3.199286,0.003641,4154,416.1
212,1736704,-35.5623,50.0,0.0100,0.4165,-0.003436,9.165717,3.188643,0.006342,4154,418.0
213,1744896,-37.2747,50.0,0.0400,0.4556,-0.004524,12.830359,3.178267,0.004765,4154,420.0
214,1753088,-36.5812,50.0,0.0000,0.4132,-0.004430,9.642100,3.170115,0.004927,4155,421.9
215,1761280,-36.9111,50.0,0.0200,0.4640,-0.003241,10.320806,3.160894,0.004317,4155,423.9
216,1769472,-35.4445,50.0,0.0100,0.4668,-0.004450,13.123517,3.149750,0.004627,4155,425.8
217,1777664,-34.3663,50.0,0.0100,0.4668,-0.002512,12.707933,3.144235,0.003239,4156,427.7
218,1785856,-34.6847,50.0,0.0100,0.4246,-0.002692,7.962722,3.139315,0.005416,4157,429.6
219,1794048,-34.6187,50.0,0.0200,0.4323,-0.002560,10.877070,3.126597,0.004673,4157,431.6
220,1802240,-34.5837,50.0,0.0200,0.4083,-0.002886,10.025438,3.114348,0.005671,4157,433.5
