#{"t_start": 1774403918.35652, "env_id": "None"}
r,l,t
-19.0,100,418.747462
-21.0,100,419.349593
-19.0,100,420.058192
-11.0,100,420.714266
-16.0,100,421.393821
-12.0,100,422.412212
-13.0,100,423.106023
-22.0,100,423.714303
-15.0,100,424.390413
-14.0,100,425.015683
-15.0,100,425.589465
-19.0,100,426.239126
-11.0,100,426.93179
-17.0,100,427.669054
-13.0,100,428.471104
-14.0,100,430.612992
-22.0,100,431.607717
-20.0,100,432.355088
-15.0,100,433.169601
-18.0,100,433.960674
-16.0,100,434.915232
-17.0,100,435.845662
-15.0,100,436.546498
-7.0,100,437.521321
-19.0,100,438.282354
-12.0,100,438.955465
-30.0,100,439.678784
-17.0,100,440.413407
-11.0,100,441.105602
-28.0,100,441.767145
-22.0,100,442.428379
-16.0,100,443.040636
-21.0,100,443.754001
-13.0,100,444.482867
-12.0,100,445.214785
-45.0,100,446.014714
-20.0,100,446.683633
-17.0,100,447.315027
-24.0,100,447.927337
-18.0,100,448.58193
-21.0,100,449.22374
-15.0,100,449.831876
-12.0,100,450.499938
-26.0,100,451.294354
-21.0,100,451.90408
-15.0,100,452.505026
-18.0,100,453.07319
-20.0,100,453.691028
-20.0,100,454.285279
-33.0,100,454.875793
-16.0,100,455.455807
-18.0,100,456.080876
-17.0,100,456.696535
-17.0,100,457.296637
-17.0,100,457.888484
-17.0,100,458.501196
-13.0,100,459.121206
-24.0,100,459.730341
-18.0,100,460.344864
-18.0,100,461.051099
-12.0,100,461.875409
-25.0,100,462.549462
-19.0,100,463.133134
-20.0,100,463.723406
-25.0,100,464.339929
-16.0,100,466.453019
-17.0,100,467.087472
-15.0,100,467.743688
-22.0,100,468.3827
-18.0,100,469.00319
-22.0,100,469.591858
-9.0,100,470.186501
-18.0,100,470.79901
-8.0,100,471.384089
-19.0,100,472.005137
-18.0,100,472.596303
-11.0,100,473.183213
-15.0,100,473.768271
-18.0,100,474.334338
-20.0,100,474.913633
-18.0,100,475.515078
-14.0,100,476.11382
-15.0,100,476.695078
-21.0,100,477.318421
-12.0,100,477.955
-13.0,100,478.547319
-21.0,100,479.127521
-17.0,100,479.738804
-17.0,100,480.426649
-14.0,100,481.014272
-15.0,100,481.581566
-21.0,100,482.22695
-29.0,100,482.894639
-17.0,100,483.474295
-12.0,100,484.052413
-15.0,100,484.638993
-13.0,100,485.232924
-11.0,100,485.82547
-16.0,100,486.420143
-13.0,100,487.056736
-20.0,100,487.681333
-15.0,100,488.297447
-17.0,100,488.90739
-13.0,100,489.570799
-18.0,100,490.236085
-28.0,100,490.965815
-17.0,100,491.657985
-13.0,100,492.335286
-25.0,100,492.928781
-22.0,100,493.562623
-11.0,100,494.131513
-15.0,100,494.873465
-13.0,100,495.478837
-20.0,100,496.06136
-13.0,100,496.745776
-12.0,100,498.942328
-21.0,100,499.636645
-44.0,100,500.324859
