iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
117,479232,-40.2279,50.0,0.0100,0.5300,-0.004815,17.356958,1.665934,0.025424,3054,156.9
118,483328,-37.7414,50.0,0.0200,0.4979,-0.010678,11.759616,1.638522,0.018004,3055,158.2
119,487424,-37.8289,50.0,0.0100,0.4710,-0.012215,10.324110,1.595827,0.022628,3056,159.4
120,491520,-37.3332,50.0,0.0100,0.4930,-0.009047,11.217149,1.557380,0.021507,3057,160.8
121,495616,-37.1838,50.0,0.0100,0.4908,-0.010531,12.259703,1.533480,0.020540,3057,162.1
122,499712,-40.4492,50.0,0.0100,0.5200,-0.014306,15.698275,1.524472,0.016043,3058,163.4
123,503808,-35.7984,50.0,0.0500,0.4391,-0.008852,9.157254,1.517691,0.023079,3059,164.7
124,507904,-36.9799,50.0,0.0500,0.4866,-0.008235,13.583029,1.491269,0.016970,3060,165.9
125,512000,-36.4613,50.0,0.0000,0.4708,-0.008405,11.035440,1.470799,0.019518,3061,167.2
126,516096,-37.4303,50.0,0.0200,0.4502,-0.011556,13.342113,1.475667,0.022470,3062,168.5
127,520192,-35.1830,50.0,0.0200,0.4751,-0.011559,10.665009,1.459706,0.022018,3063,169.8
128,524288,-35.1956,50.0,0.0200,0.4963,-0.009551,13.094055,1.440897,0.019957,3064,171.1
129,528384,-39.2108,50.0,0.0300,0.4882,-0.013472,11.970611,1.447597,0.020899,3066,172.3
130,532480,-37.8011,50.0,0.0100,0.4850,-0.012042,11.280270,1.453063,0.020712,3067,173.6
131,536576,-35.4586,50.0,0.0100,0.4352,-0.013011,11.018077,1.432759,0.020600,3068,174.9
132,540672,-34.8782,50.0,0.0300,0.4301,-0.009256,9.255463,1.406414,0.023478,3069,176.1
133,544768,-36.9968,50.0,0.0100,0.4390,-0.008415,10.170716,1.382005,0.021855,3070,177.4
134,548864,-36.0711,50.0,0.0000,0.4646,-0.011850,9.860184,1.367976,0.020327,3071,178.7
135,552960,-35.8276,50.0,0.0100,0.4750,-0.012798,8.831310,1.354040,0.019870,3072,180.0
136,557056,-35.9629,50.0,0.0000,0.4677,-0.009787,9.469379,1.337200,0.019795,3073,181.2
137,561152,-35.7101,50.0,0.0400,0.4027,-0.008204,8.724919,1.300743,0.018733,3074,182.5
138,565248,-36.8635,50.0,0.0300,0.4864,-0.013498,11.054085,1.262799,0.020828,3076,183.8
139,569344,-36.3381,50.0,0.0100,0.4832,-0.009712,11.108355,1.229782,0.023263,3076,185.0
140,573440,-36.6880,50.0,0.0000,0.5129,-0.007514,11.361096,1.191697,0.022994,3078,186.3
141,577536,-34.5282,50.0,0.0400,0.4271,-0.007790,8.822273,1.167779,0.021263,3079,187.5
142,581632,-37.1991,50.0,0.0500,0.4232,-0.012991,9.317006,1.170799,0.023793,3080,188.8
143,585728,-36.1370,50.0,0.0200,0.4364,-0.014365,9.442337,1.141690,0.019740,3081,190.1
144,589824,-37.2526,50.0,0.0200,0.5070,-0.011802,13.368841,1.111419,0.018725,3082,191.4
